0,1,2,3,4
"A Space Play : เอ สเปซ เพลย์, กรุงเทพ295 ถนนสุทธิสารวินิจฉัย, สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"1,770,000",33 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"เดอะ คัลเลอร์ลี่ วิวิด คอนโดมิเนียม, กรุงเทพประชาราษฎร ประชาราษฎร์บำเพ็ญ, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">2,560,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 7 นาที (550 ม.) ถึง BL18 MRT ห้วยขวาง
                        </li>, <li class=""""><span>คอนโด</span></li>]]","2,560,000",31 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"Noble Revolve Ratchada 2 : โนเบิล รีวอลฟ์ รัชดา 2, กรุงเทพ70 ซอยรัชดาภิเษก 10 ถนนรัชดาภิเษก, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">3,920,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 4 นาที (310 ม.) ถึง BL19 MRT ศูนย์วัฒนธรรมแห่งประเทศไทย
                        </li>, <li class=""""><span>คอนโด</span></li>]]","3,920,000",25 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"Lumpini Park Rama 9 - Ratchada : ลุมพินี พาร์ค พระราม 9 - รัชดา, กรุงเทพ888 จตุรทิศ, บางกะปิ, ห้วยขวาง, กรุงเทพ",[],"2,750,000",30 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"กรีเน่ สุทธิสาร คอนโดมิเนียม, กรุงเทพซอยจัดสรร ถนนสุธิสารวินิจฉัย, สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"2,060,000",35 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"A Space Play : เอ สเปซ เพลย์, กรุงเทพ295 ถนนสุทธิสารวินิจฉัย, สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"1,880,000",33 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"ไอ-เฮาส์ ลากูน่า การ์เด้น คอนโดมิเนียม, กรุงเทพรอยัลซิตี้อเวนิว, บางกะปิ, ห้วยขวาง, กรุงเทพ",[],"1,370,000",26 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""studio"" title=""สตูดิโอ"">สตูดิโอ <i class=""pg-icon pgicon-bedroom""></i></span></li>"
"Ivy Ratchada : ไอวี่ รัชดา, กรุงเทพซอยรัชดาภิเษก 20 ถนนรัชดาภิเษก, สามเสนนอก, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">2,590,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 4 นาที (270 ม.) ถึง BL17 MRT สุทธิสาร
                        </li>, <li class=""""><span>คอนโด</span></li>]]","2,590,000",35 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"THE PRIVACY รัชดา-สุทธิสาร, กรุงเทพ- ถนนสุทธิสารวินิจฉัย, สามเสนนอก, ห้วยขวาง, กรุงเทพ",[],"2,785,000",28 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
"The Tempo Ratchada, กรุงเทพประชาราษฏร ประชาราษฏร์, ห้วยขวาง, ห้วยขวาง, กรุงเทพ","[[<li class=""list-price pull-left""><span class=""currency"">฿</span><span class=""price"">1,950,000</span><span class=""period""></span> </li>, <li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>, <li>
<i class=""pgicon pgicon-walk""></i> 3 นาที (220 ม.) ถึง BL18 MRT ห้วยขวาง
                        </li>, <li class=""""><span>คอนโด</span></li>]]","1,950,000",25 ตร.ม.,"<li class=""listing-rooms pull-left""><span class=""bed"" title=""1 ห้องนอน"">1 <i class=""pg-icon pgicon-bedroom""></i></span> <span class=""bath"" title=""1 ห้องน้ำ"">1 <i class=""pg-icon pgicon-bathroom""></i></span></li>"
